Condition, Concentration, Exposure, Red Intensity Mean, Red Intensity Std, Green Intensity Mean, Green Intensity Std, Blue Intensity Mean, Blue Intensity Std, Gray Intensity Mean, Gray Intensity Std 
Test 1, 0.50, 280.00, 8.93, 0.20, 61.47, 13.29, 15.61, 1.48, 39.77, 7.99
Test 1, 5.00, 280.00, 10.03, 0.51, 94.72, 14.42, 19.87, 2.48, 60.24, 8.81
Test 1, 15.00, 280.00, 12.85, 1.87, 221.77, 28.17, 31.40, 1.66, 136.72, 16.91
Test 1, 50.00, 280.00, 13.76, 0.54, 255.00, 0.00, 43.83, 2.25, 157.93, 0.27
Control 1, 0.50, 280.00, 8.09, 0.19, 29.05, 1.71, 11.25, 0.26, 19.94, 1.03
Control 1, 5.00, 280.00, 8.13, 0.29, 39.57, 12.32, 12.17, 1.16, 26.27, 7.55
Control 1, 15.00, 280.00, 8.06, 0.44, 38.76, 30.03, 12.25, 3.73, 25.74, 18.30
Control 1, 50.00, 280.00, 7.92, 0.28, 30.03, 3.06, 11.10, 0.51, 20.41, 1.86

Test 1, 0.50, 380.00, 8.93, 0.20, 61.47, 13.29, 15.61, 1.48, 39.77, 7.99
Test 1, 5.00, 380.00, 10.03, 0.51, 94.72, 14.42, 19.87, 2.48, 60.24, 8.81
Test 1, 15.00, 380.00, 12.85, 1.87, 221.77, 28.17, 31.40, 1.66, 136.72, 16.91
Test 1, 50.00, 380.00, 13.76, 0.54, 255.00, 0.00, 43.83, 2.25, 157.93, 0.27
Control 1, 0.50, 380.00, 8.09, 0.19, 29.05, 1.71, 11.25, 0.26, 19.94, 1.03
Control 1, 5.00, 380.00, 8.13, 0.29, 39.57, 12.32, 12.17, 1.16, 26.27, 7.55
Control 1, 15.00, 380.00, 8.06, 0.44, 38.76, 30.03, 12.25, 3.73, 25.74, 18.30
Control 1, 50.00, 380.00, 7.92, 0.28, 30.03, 3.06, 11.10, 0.51, 20.41, 1.86

