Condition, Concentration, Exposure, Red Intensity Mean, Red Intensity Std, Green Intensity Mean, Green Intensity Std, Blue Intensity Mean, Blue Intensity Std, Gray Intensity Mean, Gray Intensity Std 
Test 1, 0.50, 280.00, 8.95, 0.20, 61.47, 13.27, 15.61, 1.48, 39.76, 7.99
Test 1, 5.00, 280.00, 10.03, 0.51, 94.72, 14.42, 19.87, 2.48, 60.24, 8.81
Test 1, 15.00, 280.00, 12.85, 1.87, 221.77, 28.17, 31.40, 1.66, 136.72, 16.91
Test 1, 50.00, 280.00, 13.76, 0.54, 255.00, 0.00, 43.83, 2.25, 157.93, 0.27
Control 1, 0.50, 280.00, 8.06, 0.19, 29.07, 1.70, 11.25, 0.25, 19.95, 1.02
Control 1, 5.00, 280.00, 8.13, 0.31, 39.54, 12.37, 12.17, 1.16, 26.27, 7.58
Control 1, 15.00, 280.00, 8.06, 0.44, 38.75, 30.04, 12.25, 3.73, 25.73, 18.30
Control 1, 50.00, 280.00, 7.91, 0.28, 30.03, 3.05, 11.11, 0.52, 20.39, 1.85

Test 1, 0.50, 380.00, 8.95, 0.20, 61.47, 13.27, 15.61, 1.48, 39.76, 7.99
Test 1, 5.00, 380.00, 10.03, 0.51, 94.72, 14.42, 19.87, 2.48, 60.24, 8.81
Test 1, 15.00, 380.00, 12.85, 1.87, 221.77, 28.17, 31.40, 1.66, 136.72, 16.91
Test 1, 50.00, 380.00, 13.76, 0.54, 255.00, 0.00, 43.83, 2.25, 157.93, 0.27
Control 1, 0.50, 380.00, 8.06, 0.19, 29.07, 1.70, 11.25, 0.25, 19.95, 1.02
Control 1, 5.00, 380.00, 8.13, 0.31, 39.54, 12.37, 12.17, 1.16, 26.27, 7.58
Control 1, 15.00, 380.00, 8.06, 0.44, 38.75, 30.04, 12.25, 3.73, 25.73, 18.30
Control 1, 50.00, 380.00, 7.91, 0.28, 30.03, 3.05, 11.11, 0.52, 20.39, 1.85

