Condition, Exposure, Red Intensity Mean, Red Intensity Std, Green Intensity Mean, Green Intensity Std, Blue Intensity Mean, Blue Intensity Std, Gray Intensity Mean, Gray Intensity Std 
Test 1, 280.00, 8.79, 0.18, 63.79, 12.39, 15.76, 1.62, 41.19, 7.43
Control 1, 280.00, 8.00, 0.00, 31.60, 0.00, 11.64, 0.00, 21.28, 0.00

Test 1, 280.00, 12.77, 0.44, 246.16, 12.36, 32.39, 1.23, 151.36, 7.72
Control 1, 280.00, 7.72, 0.00, 29.52, 0.00, 10.84, 0.00, 20.08, 0.00

Test 1, 280.00, 13.53, 0.20, 255.00, 0.00, 42.89, 2.61, 157.95, 0.12
Control 1, 280.00, 8.12, 0.00, 30.60, 0.00, 11.24, 0.00, 20.68, 0.00

Test 1, 280.00, 9.97, 0.24, 88.19, 2.51, 18.76, 0.24, 56.19, 1.54
Control 1, 280.00, 8.44, 0.00, 55.04, 0.00, 13.44, 0.00, 35.64, 0.00

Test 1, 380.00, 8.79, 0.18, 63.79, 12.39, 15.76, 1.62, 41.19, 7.43
Control 1, 380.00, 8.00, 0.00, 31.60, 0.00, 11.64, 0.00, 21.28, 0.00

Test 1, 380.00, 12.77, 0.44, 246.16, 12.36, 32.39, 1.23, 151.36, 7.72
Control 1, 380.00, 7.72, 0.00, 29.52, 0.00, 10.84, 0.00, 20.08, 0.00

Test 1, 380.00, 13.53, 0.20, 255.00, 0.00, 42.89, 2.61, 157.95, 0.12
Control 1, 380.00, 8.12, 0.00, 30.60, 0.00, 11.24, 0.00, 20.68, 0.00

Test 1, 380.00, 9.97, 0.24, 88.19, 2.51, 18.76, 0.24, 56.19, 1.54
Control 1, 380.00, 8.44, 0.00, 55.04, 0.00, 13.44, 0.00, 35.64, 0.00

